                              2017-06 CUE - Browser 1.3 (C)																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Jun 29 2017, 12:28pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	mkadomat	Dooganhead3440	randru15	Mw901113	Kobby	AndyH4482	mopo28	Ruari	sc_moss@me.com	quantumsyphr	Rynocerator99	TignerC	ce1585	zuidema_15	bluna81	NJLeprechaun	NathanV	lynde614	anorgard	chiisai704	Steph89	Britbig	alsh220	calebacook	Carely426	Chido	Animaldoccsc	Esmith2	MandyGirl86	vipulsurana24
Test ID #	2198596A	2198596B	2198596C	2198596D	2198596E	2198596F	2198596G	2198596H	2198596I	2198596J	2198596K	2198596L	2198596M	2198596N	2198596O	2198596P	2198596Q	2198596T	2198596U	2198596V	2198596W	2198596X	2198596Y	2198596Z	2198596AA	2198596AB	2198596AC	2198596AD	2198596R	2198596S
Video	Play Video:::http://www.usertesting.com/v/e5bc5a99-12d4-4586-94cc-286e2a367ee6	Play Video:::http://www.usertesting.com/v/dfb1abaf-9704-4695-b153-0cf3f303c07e	Play Video:::http://www.usertesting.com/v/31013a62-2bf6-4774-8eff-40e66b17138e	Play Video:::http://www.usertesting.com/v/8e1b25ab-a4f2-44b5-9ebf-b5c44891f792	Play Video:::http://www.usertesting.com/v/b8485d39-5848-4f4e-8f2d-e5102ad3e03e	Play Video:::http://www.usertesting.com/v/68389433-63b3-41e7-8ade-75e1fa361380	Play Video:::http://www.usertesting.com/v/acfdb316-5773-42bf-a47b-4c468aa9f285	Play Video:::http://www.usertesting.com/v/53175fd6-6e86-4bfc-abdc-ca428b874b96	Play Video:::http://www.usertesting.com/v/40a3105a-91f4-4111-b1cd-8d2e4381a724	Play Video:::http://www.usertesting.com/v/7dca0426-c4bc-4641-8987-92df4bdc36f4	Play Video:::http://www.usertesting.com/v/7206f65f-09be-4619-a6a9-80700f0a9d58	Play Video:::http://www.usertesting.com/v/390c3aba-2171-470f-8f08-84d5f4742203	Play Video:::http://www.usertesting.com/v/aedfd228-d982-45e3-80ef-4b6e8b30c5d6	Play Video:::http://www.usertesting.com/v/891d8a23-e0f4-416a-b391-29f77ca3ada8	Play Video:::http://www.usertesting.com/v/80268e54-6da8-4af0-bb46-3a1476610603	Play Video:::http://www.usertesting.com/v/4e7e2919-2f93-4ef4-af4d-acd4d683366b	Play Video:::http://www.usertesting.com/v/62ba7623-bc37-46a8-908a-bd921c366fac	Play Video:::http://www.usertesting.com/v/6c0b5da3-afbb-476b-b41c-78e40622392a	Play Video:::http://www.usertesting.com/v/23c255e1-5f99-4323-b31b-2e9f07078295	Play Video:::http://www.usertesting.com/v/790460f0-5195-4846-bf41-b3d291c78478	Play Video:::http://www.usertesting.com/v/af042789-795e-479c-bf54-f39255948496	Play Video:::http://www.usertesting.com/v/983179a3-8183-4cce-9ad8-8903a7e043b2	Play Video:::http://www.usertesting.com/v/45e3cbb3-96de-4dc9-a1f6-0d7726bc4ba1	Play Video:::http://www.usertesting.com/v/b87f4acf-fae5-460f-9c83-73aade693e66	Play Video:::http://www.usertesting.com/v/cb46515e-d9fb-4042-9844-b7da08bda87d	Play Video:::http://www.usertesting.com/v/bfd44787-2257-477d-b719-48c554a00300	Play Video:::http://www.usertesting.com/v/8b71653e-0383-4b64-a1b3-07ba54c317ed	Play Video:::http://www.usertesting.com/v/00a2ad57-a378-4279-b81a-0568e8f2ac86	Play Video:::http://www.usertesting.com/v/8acc7bee-ebc0-4b6b-8b16-1a973ee60c2f	Play Video:::http://www.usertesting.com/v/b7f0eacb-a4af-4031-b167-f0d7d2594155
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	35	27	33	22	23	35	46	38	43	24	24	29	32	19	36	30	21	41	30	35	28	25	34	18	32	36	36	38	31	29
Annual household income	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$100,000 +"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"$100,000 +"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"$100,000 +"	"Less than $40,000"	"Less than $40,000"
Gender	Female	Male	Female	Female	Male	Male	Female	Female	Female	Male	Male	Female	Male	Female	Female	Male	Male	Female	Female	Female	Female	Female	Female	Male	Female	Female	Female	Female	Female	Male
Country	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	Ireland	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	Canada	India
Web expertise	Average	Advanced	Advanced	Advanced	Advanced	Average	Average	Advanced	Advanced	Beginner	Beginner	Advanced	Advanced	Beginner	Advanced	Advanced	Advanced	Average	Average	Average	Average	Average	Average	Advanced	Average	Advanced	Average	Advanced	Advanced	Average
Operating System	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Enterprise 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home Single Language 10.0
