                              2017-06 CUE - Browser 2.3 (C)																														
Ordered By	Will Griscom (willgris@microsoft.com)																													
Order Date	"Jul 5 2017, 10:49am PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	meganofalaska	anastasiaj11	chahatmayor	DSD	asimpson1088	platinumallison	Uahmed3471	CMfromColorado	Ani_Test	Mesha2020	ENichols147	bmel	hchow	npetey276	franklyn7895	rosierios88	Lizflores87	karliwalker	Darde89	sid_ling	jaytu75	BStern95	Bbasst626@gmail	robertleung.pro	Aimeerg.Y	G&Rsmom	najat1980	Mbk1687	testerrakesh	Claydood
Test ID #	2198766A	2198766B	2198766C	2198766D	2198766E	2198766F	2198766G	2198766H	2198766I	2198766J	2198766K	2198766L	2198766M	2198766O	2198766P	2198766Q	2198766R	2198766S	2198766T	2198766U	2198766W	2198766X	2198766Y	2198766Z	2198766AA	2198766AB	2198766AE	2198766V	2198766AC	2198766AF
Video	Play Video:::http://www.usertesting.com/v/269daa8a-ae58-4a3b-8329-99b8fdba0841	Play Video:::http://www.usertesting.com/v/0e0b9f5a-78f6-4d83-a2ab-59b829d1c926	Play Video:::http://www.usertesting.com/v/f99aac2c-9c0c-4413-b3b1-07980d9cf871	Play Video:::http://www.usertesting.com/v/35fd16cb-150e-40bb-85ac-ee18ac32c764	Play Video:::http://www.usertesting.com/v/6c420102-0355-4554-8567-d1fbb4af50c4	Play Video:::http://www.usertesting.com/v/842aed5a-e591-4e4e-9f86-e56b1f5eb4ba	Play Video:::http://www.usertesting.com/v/f6be4127-b977-4dbf-b9a8-983f7ae84040	Play Video:::http://www.usertesting.com/v/bead49c5-ecda-40d9-8d77-fe37e01b4192	Play Video:::http://www.usertesting.com/v/7eb69480-8221-4592-a852-e02e70f114c8	Play Video:::http://www.usertesting.com/v/98f2e94e-cacd-402d-abe6-1b3203a8e631	Play Video:::http://www.usertesting.com/v/6ec359ce-c250-4f21-b715-006eb55b7a19	Play Video:::http://www.usertesting.com/v/88913c9c-6dc0-4603-becc-f86c7bcdb0f0	Play Video:::http://www.usertesting.com/v/c6657685-fe1f-4062-bbb7-7151cd0db53b	Play Video:::http://www.usertesting.com/v/bffb2490-0b14-4a0b-a442-dbcd1ad795fd	Play Video:::http://www.usertesting.com/v/7bccb54d-e6c8-473c-a840-99edacf68c14	Play Video:::http://www.usertesting.com/v/410c4dee-2539-4683-a0b4-084668f72abc	Play Video:::http://www.usertesting.com/v/16ccf2bc-cb99-444d-ae06-e73bd752acf3	Play Video:::http://www.usertesting.com/v/f344929e-76ec-4b51-b17e-e81ee3c57c5c	Play Video:::http://www.usertesting.com/v/c659e54c-98c1-4492-b663-dcba80a6a616	Play Video:::http://www.usertesting.com/v/8d15aa0a-20c3-4a27-ace1-00a1df1fea98	Play Video:::http://www.usertesting.com/v/ca1e22c4-2b6e-40a3-b226-16ee66338d3f	Play Video:::http://www.usertesting.com/v/ee6da8df-9983-4cb1-ab9d-0a2b9e58924e	Play Video:::http://www.usertesting.com/v/cdedda87-3043-4c64-bac4-77f4d2138c98	Play Video:::http://www.usertesting.com/v/143da997-1952-4342-96ca-a8764c921c28	Play Video:::http://www.usertesting.com/v/a200a823-2712-4a2d-bc4f-8c80003ae0b3	Play Video:::http://www.usertesting.com/v/b36c1fe7-0cb4-4e79-a234-0bb0ecdef31e	Play Video:::http://www.usertesting.com/v/22f078b5-dd5b-41cb-a848-6de49ed0110d	Play Video:::http://www.usertesting.com/v/3035c284-a8ac-4b9c-a48f-45ef5bf61498	Play Video:::http://www.usertesting.com/v/828c5e6d-8284-4ad0-a32f-12ef563cf24f	Play Video:::http://www.usertesting.com/v/d59ea7ff-ab87-4b68-9fcc-e4988ba772c4
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	30	31	25	34	29	34	28	35	23	23	22	24	18	18	42	29	30	25	28	21	42	22	26	25	22	37	37	30	23	28
Annual household income	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$100,000 +"	"$100,000 +"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$100,000 +"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"$100,000 +"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"
Gender	Female	Female	Female	Male	Female	Female	Male	Female	Male	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Male	Male	Female	Male	Female	Female	Female	Female	Male	Male
Country	United States	United States	United Kingdom	United States	United States	United States	United States	United States	India	United States	United States	United States	Canada	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United Kingdom	United States	India	United States
Web expertise	Average	Average	Average	Advanced	Advanced	Advanced	Advanced	Average	Advanced	Average	Average	Average	Advanced	Average	Advanced	Average	Average	Advanced	Advanced	Average	Advanced	Advanced	Advanced	Advanced	Advanced	Average	Average	Average	Average	Advanced
Operating System	Windows 10 Home 10.0	Windows 7 6.1	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0
