                              2017-06 CUE - Browser 1.3 (E)																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Jun 29 2017, 12:27pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	Morgan0517	CubanGringo	jcshao	DoctorAines	andream885	eisor_	Christy989	cprechtl	Kevin_Rs5	MelsKolozyan	MrFrolic	deela_99	MKE.15	shamilton	TheSteven	NightShade21099	DeelBee 	niecyisms	ibbykarim93	Taylor33	KNesbitt19	kgzoltani	ShariDel	14thousandfeet	Liantonette	VasKeZ	byc090020	Wanderhome	zbeel85	omrigold13
Test ID #	2198788A	2198788B	2198788F	2198788G	2198788H	2198788J	2198788L	2198788M	2198788O	2198788Q	2198788R	2198788S	2198788T	2198788U	2198788W	2198788X	2198788Y	2198788AA	2198788AB	2198788AC	2198788AD	2198788C	2198788D	2198788E	2198788N	2198788I	2198788P	2198788V	2198788Z	2198788K
Video	Play Video:::http://www.usertesting.com/v/49b17b53-ce6a-41cc-a5da-e477f6c322d2	Play Video:::http://www.usertesting.com/v/6f266eb7-bfad-47d4-b3b0-0001934507c9	Play Video:::http://www.usertesting.com/v/8670d1b1-7e81-409c-9f77-ba4e62e47092	Play Video:::http://www.usertesting.com/v/2ddcec64-ff39-40f0-8f36-f37a2ac61f67	Play Video:::http://www.usertesting.com/v/47f1d0a9-54fc-4008-8f43-94a7baaf759a	Play Video:::http://www.usertesting.com/v/faa84957-d21f-45b7-ac6d-9839e4c088a9	Play Video:::http://www.usertesting.com/v/4dff3690-0a93-41bb-9de4-c8e10e1c6469	Play Video:::http://www.usertesting.com/v/ccb00f62-ccda-4433-8fee-5fb6f3879a18	Play Video:::http://www.usertesting.com/v/c3b0e800-b6c2-4c7d-b6e1-b79f372edb4d	Play Video:::http://www.usertesting.com/v/af894b80-0cb0-4572-8727-6ac6d7e2d21c	Play Video:::http://www.usertesting.com/v/e40618fc-dc01-4789-b0b2-797e00a509b7	Play Video:::http://www.usertesting.com/v/92e6cb51-6a44-4066-89b4-0523092cce40	Play Video:::http://www.usertesting.com/v/fd89d508-ce55-4ad4-9688-4e9253af6661	Play Video:::http://www.usertesting.com/v/76430340-6095-4e72-846f-da365978b28c	Play Video:::http://www.usertesting.com/v/67384823-c5a2-4b26-968e-7cf01d0dd4f0	Play Video:::http://www.usertesting.com/v/da3179a0-552f-49ff-8928-953d831eded5	Play Video:::http://www.usertesting.com/v/5b21825a-1001-4e6c-9065-0bbdfbb0694f	Play Video:::http://www.usertesting.com/v/9015c162-b106-4eb9-b16a-dad94b648762	Play Video:::http://www.usertesting.com/v/973d955e-3def-44aa-9dcf-80faaa3465d7	Play Video:::http://www.usertesting.com/v/71bfcc15-ee49-4333-a8f7-56a4f739c5d3	Play Video:::http://www.usertesting.com/v/e98418a4-4a91-4eaf-857b-513c646f3833	Play Video:::http://www.usertesting.com/v/02ac6bb5-afeb-4964-8cfb-782d3f795aef	Play Video:::http://www.usertesting.com/v/de37b2ea-039a-4db1-b021-2502633e52d3	Play Video:::http://www.usertesting.com/v/6cca9a20-2b55-4e3e-aa45-0277612a7f72	Play Video:::http://www.usertesting.com/v/69e9cad1-8c1b-4726-ba08-34b79ee275c1	Play Video:::http://www.usertesting.com/v/1d24a685-5f7f-455a-9129-bf06a48b8e02	Play Video:::http://www.usertesting.com/v/21f776e9-63b0-4391-8e38-d58fab0aa535	Play Video:::http://www.usertesting.com/v/536d73b5-df38-4255-92b0-d3fc31879f16	Play Video:::http://www.usertesting.com/v/28e9108d-8ddf-451e-8225-05002ae3135c	Play Video:::http://www.usertesting.com/v/94270114-03ad-4258-a998-1340957b2e61
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	30	21	30	20	33	22	20	44	47	21	24	41	20	47	20	27	23	45	24	30	21	30	36	29	19	44	26	22	32	18
Annual household income	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"$100,000 +"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$100,000 +"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"
Gender	Female	Male	Female	Male	Female	Female	Female	Female	Male	Male	Male	Female	Female	Female	Male	Male	Female	Female	Male	Female	Female	Male	Female	Male	Female	Male	Male	Female	Female	Male
Country	United States	United States	United States	United States	United States	United States	United States	United States	United States	Canada	United States	United States	United Kingdom	United States	United States	United States	United States	United States	United Kingdom	United States	United States	Reunion	Canada	United States	United States	United States	United States	United States	United Kingdom	Israel
Web expertise	Average	Advanced	Advanced	Advanced	Advanced	Advanced	Advanced	Average	Average	Advanced	Advanced	Average	Average	Advanced	Advanced	Advanced	Average	Advanced	Advanced	Advanced	Average	Advanced	Average	Advanced	Average	Advanced	Average	Advanced	Average	Advanced
Operating System	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0
