                              2017-06 CUE - Browser 2.3 (E)																														
Ordered By	Will Griscom (willgris@microsoft.com)																													
Order Date	"Jul 5 2017, 11:03am PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	Kopen93	Ald5382	LunaNyx	jordan2929	MTimonin	jediant1	Danielliu168	amtester	Emma Lou	amsext01	estanmore	AAdams101	cregister	opeaina	ipon	isabelcastrillo	RebeccaAnn	algolubkov	Mason378	whiskymeaway	EmmaW	qualitytester84	brodobrev	Rodrigator.1	itsmwaura	Squirks	Dwill1212	NewB1	namoizaba	liamcannon04
Test ID #	2198809D	2198809E	2198809G	2198809H	2198809I	2198809K	2198809L	2198809O	2198809P	2198809Q	2198809R	2198809S	2198809U	2198809V	2198809X	2198809Y	2198809Z	2198809AA	2198809AB	2198809AC	2198809AD	2198809C	2198809J	2198809M	2198809T	2198809B	2198809W	2198809AE	2198809A	2198809N
Video	Play Video:::http://www.usertesting.com/v/dd5803c8-1b0d-445e-ba05-ee45bf89e130	Play Video:::http://www.usertesting.com/v/afb6306d-f7c7-40a4-8c49-e99cd237ee91	Play Video:::http://www.usertesting.com/v/8b51f0ae-519a-4b07-8cd9-5bf2da211f63	Play Video:::http://www.usertesting.com/v/a67f2e93-c119-455c-a1e8-d395d7e29d3d	Play Video:::http://www.usertesting.com/v/df330983-a7c5-4c20-9252-cd24d4323b05	Play Video:::http://www.usertesting.com/v/dd8da8dd-92b9-457b-a389-709d22a10494	Play Video:::http://www.usertesting.com/v/989ccaf3-3707-4913-ae19-65cb959db7a9	Play Video:::http://www.usertesting.com/v/02bbf7f5-6d87-4fcc-9ddc-f542e64a8d51	Play Video:::http://www.usertesting.com/v/68f1a5fc-c898-4597-a97e-037765e0bec4	Play Video:::http://www.usertesting.com/v/48355b11-af2f-48b4-af7a-2377deef1591	Play Video:::http://www.usertesting.com/v/0bfd9ddb-2312-4968-bd76-3c3c2421cb7e	Play Video:::http://www.usertesting.com/v/a5938176-b0d5-4914-beba-9f08f7256054	Play Video:::http://www.usertesting.com/v/6e572764-da81-4fb5-9524-098c7baf2b65	Play Video:::http://www.usertesting.com/v/7db45688-08dc-438d-ad9a-4f47897bc9a3	Play Video:::http://www.usertesting.com/v/df794c64-57e0-4d98-b3cb-035d1fb36813	Play Video:::http://www.usertesting.com/v/d6ae7883-eb24-4593-aa68-1816463fec49	Play Video:::http://www.usertesting.com/v/6e570031-fc03-4512-90ad-9b1bb897441f	Play Video:::http://www.usertesting.com/v/42ae5d47-220d-484a-9c5a-abe56d8528c0	Play Video:::http://www.usertesting.com/v/c4dfb212-8250-4d34-8b90-213e68c84184	Play Video:::http://www.usertesting.com/v/ac2dcb14-666a-483b-8ca9-da28951fd07e	Play Video:::http://www.usertesting.com/v/909deffb-63dd-4396-838d-ecc62a47d9e5	Play Video:::http://www.usertesting.com/v/5777d47f-6e7a-48c5-8822-98c52ebf9592	Play Video:::http://www.usertesting.com/v/28faa3e9-174f-46b9-bfb7-f145845d5c43	Play Video:::http://www.usertesting.com/v/dad90667-f0d4-4257-9ad0-9ef870bb2126	Play Video:::http://www.usertesting.com/v/85feb2c0-e8cc-4b46-a7d1-941eb54f7617	Play Video:::http://www.usertesting.com/v/2dc87649-1763-466a-b094-5658e4cb52be	Play Video:::http://www.usertesting.com/v/eb01e3f0-132e-4122-88ef-9b21de0872dc	Play Video:::http://www.usertesting.com/v/aaf16cbc-b14e-4cf9-a186-6877aab9941c	Play Video:::http://www.usertesting.com/v/f5c86ba9-4e7e-46fa-88ae-b00588189c00	Play Video:::http://www.usertesting.com/v/ce697557-c5cc-4374-bdf9-92fd366d23d1
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	24	26	23	19	41	25	23	38	20	29	29	21	40	27	24	20	25	21	20	36	22	33	23	34	22	22	19	45	24	18
Annual household income	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"
Gender	Male	Female	Male	Male	Male	Male	Male	Female	Female	Female	Female	Female	Female	Male	Male	Female	Female	Male	Male	Female	Female	Male	Male	Male	Male	Male	Male	Female	Female	Male
Country	United States	United States	Netherlands	United Kingdom	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United States	United Kingdom	United States	United Kingdom	Belize	Romania	Peru	United Kingdom	Hungary	United States	United States	United States	United Kingdom
Web expertise	Advanced	Advanced	Average	Advanced	Average	Average	Average	Average	Average	Advanced	Average	Average	Advanced	Advanced	Advanced	Average	Average	Average	Average	Advanced	Average	Average	Advanced	Advanced	Advanced	Average	Average	Advanced	Advanced	Advanced
Operating System	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0
