                              2017-08 CUE - Browser E1																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Aug 31 2017, 1:38pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com																													
																														
Username	ULTRASTEVE	Amiller864	Lbarnet3	RubyRose	hightryan	WilsonGeoffW	Precious21ism	Tay316	kaylamcox	jcabernathy	moPhill	mkinneypsg14	StefanoLau	Jasminechen	PCTester	Priya	mjprueter	Mmundle	Ralo	Alexandre G.	advbeg	ja_s60	didiano	benlauff	ak919	drummergirl12	sand4878	NeriCavini	RaduPhantom	Avatar2199
Test ID #	2245651D	2245651E	2245651F	2245651I	2245651J	2245651K	2245651M	2245651N	2245651R	2245651S	2245651U	2245651V	2245651W	2245651X	2245651Z	2245651AA	2245651AB	2245651AC	2245651A	2245651C	2245651T	2245651Y	2245651B	2245651G	2245651P	2245651Q	2245651AD	2245651H	2245651L	2245651O
Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video	Play Video
Participant Demographics																														
Device	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer	Computer
Age	26	32	30	27	25	31	25	27	33	33	42	35	22	22	33	28	42	21	22	18	29	23	24	33	26	45	39	18	18	18
Annual household income	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"$100,000 +"	"$40,000 to $100,000"	"$40,000 to $100,000"	"$40,000 to $100,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"$100,000 +"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"	"$40,000 to $100,000"	"Less than $40,000"
Gender	Male	Female	Female	Female	Male	Male	Female	Male	Female	Male	Male	Female	Male	Female	Male	Female	Male	Male	Male	Male	Male	Female	Male	Male	Female	Female	Female	Male	Male	Male
Country	Canada	United States	United States	United States	United States	New Zealand	United States	United States	United States	United States	Germany	United States	Canada	United States	United States	Canada	United States	United States	Morocco	Portugal	Bulgaria	United States	Canada	Hong Kong	India	United States	United States	Italy	Belgium	Italy
Web expertise	Average	Average	Average	Average	Advanced	Advanced	Advanced	Average	Advanced	Advanced	Advanced	Advanced	Average	Average	Average	Advanced	Average	Advanced	Average	Beginner	Advanced	Average	Advanced	Average	Average	Average	Advanced	Average	Advanced	Advanced
Operating System	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home Single Language 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home Insider Preview 10.0
Web Browser	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Edge	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Social Networking	"Linkedin, Facebook"	"Facebook, Twitter, Pinterest"	"Google+, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Pinterest, Linkedin, Facebook"	"Google+, Twitter, Linkedin, Facebook"		"Google+, Pinterest, Twitter, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Twitter, Pinterest"	"Facebook, Twitter, Google+"	"Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Twitter"	Facebook	"Google+, Twitter, Linkedin, Facebook"	"Facebook, Twitter, Google+"	"Pinterest, Twitter, Linkedin, Google+, Facebook"	"Google+, Twitter, Facebook"	Facebook	"Google+, Pinterest, Twitter, Facebook"	"Google+, Facebook"	"Twitter, Linkedin, Facebook"	"Google+, Facebook, Linkedin, Twitter"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Linkedin"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Facebook"	"Twitter, Facebook"	Google+
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	25-45	25-45	25-45	25-45	18-25	25-45	18-25	25-45	25-45	25-45	18-25	25-45	18-25	18-25	25-45	25-45	25-45	18-25	18-25	18-25	25-45	18-25	18-25	25-45	25-45	25-45	25-45	18-25	18-25	18-25
																														
Question 2																														
